,dbn,school_name,address,city,Number of SAT Test Takers,SAT Critical Reading Avg,SAT Math Avg,SAT Writing Avg,total cohort  - june,total math/ela apm - june,Regents Pass Rate - June,total cohort  - august,total math/ela apm - august,Regents Pass Rate - August,Graduation Ontrack Rate - 2013,Graduation Rate - 2013,College Career Rate - 2013,Student Satisfaction Rate - 2013,Graduation Ontrack Rate - 2012,Graduation Rate - 2012,College Career Rate - 2012,Student Satisfaction Rate - 2012,coordinates
101,06M463,High School for Media and Communications,549 Audubon Avenue,New York,63.0,369.0,380.0,349.0,161.0,10.0,6.2,161.0,11.0,6.8,68.0,62.0,45.0,7.5,62.0,64.0,37.0,6.6,"(40.8562127, -73.92655429999999)"
102,06M467,High School for Law and Public Service,549 Audubon Avenue,New York,94.0,363.0,378.0,361.0,171.0,16.0,9.4,171.0,16.0,9.4,68.0,60.0,39.0,7.1,71.0,65.0,53.0,6.5,"(40.8562127, -73.92655429999999)"
103,06M468,High School for Health Careers and Sciences,549 Audubon Avenue,New York,24.0,400.0,422.0,402.0,158.0,21.0,13.3,158.0,21.0,13.3,65.0,49.0,36.0,7.2,67.0,57.0,41.0,6.6,"(40.8562127, -73.92655429999999)"
104,06M540,A. Philip Randolph Campus High School,443 West 135 Street,New York,228.0,430.0,456.0,423.0,267.0,62.0,23.2,267.0,63.0,23.6,73.0,73.0,65.0,8.9,90.0,75.0,63.0,6.1,"(40.818413, -73.9503019)"
105,06M552,Gregorio Luperon High School for Science and Mamatics,501 West 165Th,New York,56.0,339.0,349.0,326.0,91.0,11.0,12.1,91.0,11.0,12.1,70.0,64.0,56.0,8.2,46.0,76.0,52.0,7.5,"(40.8383948, -73.93855719999999)"
106,07X221,South Bronx Preparatory: A College Board School,360 East 145 Street,Bronx,65.0,364.0,378.0,348.0,80.0,10.0,12.5,80.0,10.0,12.5,91.0,86.0,63.0,7.9,82.0,89.0,63.0,7.1,"(40.8137232, -73.9206427)"
109,07X334,International Community High School,345 Brook Avenue,Bronx,34.0,310.0,324.0,311.0,10.0,,,10.0,,,55.0,31.0,28.0,7.7,86.0,47.0,41.0,7.1,"(40.8102834, -73.91810079999999)"
110,07X427,Community School for Social Justice,350 Gerard Avenue,Bronx,43.0,361.0,359.0,357.0,,,,,,,78.0,69.0,53.0,8.3,86.0,60.0,60.0,7.5,"(40.8156492, -73.93043220000001)"
111,07X473,Mott Haven Village Preparatory High School,701 St. Anns Avenue,Bronx,63.0,351.0,375.0,371.0,69.0,0.0,0.0,69.0,0.0,0.0,79.0,51.0,42.0,7.5,79.0,65.0,39.0,7.1,"(40.8181071, -73.9114331)"
112,07X495,University Heights Secondary School,701 St. Anns Avenue,Bronx,79.0,403.0,394.0,404.0,,,,,,,99.0,85.0,69.0,7.9,99.0,89.0,71.0,6.4,"(40.8181071, -73.9114331)"
113,07X500,Hostos-Lincoln Academy of Science,600 Saint Ann'S Avenue,Bronx,66.0,420.0,426.0,411.0,61.0,25.0,41.0,61.0,25.0,41.0,82.0,75.0,76.0,7.2,77.0,79.0,74.0,6.7,"(40.8145265, -73.9123068)"
114,07X520,Foreign Language Academy of Global Studies,470 Jackson Avenue,Bronx,64.0,399.0,396.0,391.0,136.0,19.0,14.0,136.0,19.0,14.0,62.0,48.0,34.0,6.8,65.0,53.0,57.0,6.1,"(40.8109323, -73.9093063)"
115,07X522,Bronx Design and Construction Academy,333 East 151 Street,Bronx,,,,,,,,,,,61.0,,,7.9,72.0,,,7.3,"(40.8185183, -73.91996809999999)"
116,07X527,Bronx Leadership Academy II High School,730 Concourse Village West,Bronx,62.0,362.0,378.0,363.0,102.0,10.0,9.8,102.0,10.0,9.8,91.0,62.0,55.0,7.3,77.0,65.0,37.0,6.5,"(40.8225734, -73.9235453)"
117,07X547,New Explorers High School,730 Concourse Village West,Bronx,28.0,367.0,356.0,361.0,81.0,4.0,4.9,81.0,5.0,6.2,66.0,54.0,25.0,7.4,69.0,58.0,20.0,6.6,"(40.8225734, -73.9235453)"
118,07X548,Urban Assembly School for Careers in Sports,730 Concourse Village West,Bronx,44.0,387.0,411.0,383.0,82.0,2.0,2.4,82.0,3.0,3.7,85.0,68.0,48.0,7.6,87.0,73.0,55.0,6.9,"(40.8225734, -73.9235453)"
119,07X551, Urban Assembly Bronx Academy of Letters,339 Morris Avenue,Bronx,51.0,413.0,381.0,407.0,76.0,7.0,9.2,76.0,7.0,9.2,68.0,87.0,65.0,6.9,65.0,78.0,66.0,6.5,"(40.81366, -73.92599899999999)"
120,07X600,Alfred E. Smith Career and Technical Education High School,333 East 151 Street,Bronx,76.0,394.0,400.0,364.0,267.0,6.0,2.2,267.0,6.0,2.2,75.0,51.0,23.0,6.8,77.0,56.0,15.0,6.2,"(40.8185183, -73.91996809999999)"
121,07X670,Health Opportunities High School,350 Gerard Avenue,Bronx,114.0,363.0,368.0,364.0,134.0,19.0,14.2,134.0,20.0,14.9,68.0,69.0,54.0,7.2,57.0,74.0,63.0,6.2,"(40.8156492, -73.93043220000001)"
122,08X269,Bronx Studio School for Writers and Artists,928 Simpson Street,Bronx,,,,,,,,,,,75.0,70.0,,7.4,43.0,,,7.0,"(40.8203318, -73.8929654)"
123,08X282,Women's Academy of Excellence,456 White Plains Road,Bronx,44.0,407.0,386.0,378.0,75.0,10.0,13.3,75.0,11.0,14.7,63.0,66.0,43.0,5.3,61.0,68.0,74.0,5.7,"(40.8150398, -73.85609869999999)"
124,08X293,Renaissance High School for Musical ater & Technology,3000 East Tremont Avenue,Bronx,52.0,384.0,385.0,389.0,117.0,10.0,8.5,117.0,11.0,9.4,80.0,80.0,41.0,7.1,74.0,66.0,39.0,6.6,"(40.8401731, -73.8393567)"
125,08X305,Pablo Neruda Academy,1980 Lafayette Avenue,Bronx,67.0,337.0,361.0,340.0,101.0,7.0,6.9,101.0,7.0,6.9,82.0,61.0,27.0,7.4,71.0,61.0,38.0,7.0,"(40.8213444, -73.85567329999999)"
126,08X312,Millennium Art Academy,1980 Lafayette Avenue,Bronx,67.0,387.0,402.0,375.0,108.0,7.0,6.5,108.0,7.0,6.5,89.0,66.0,34.0,7.2,86.0,61.0,28.0,6.4,"(40.8213444, -73.85567329999999)"
128,08X332,Holcombe L. Rucker School of Community Research,965 Longwood Avenue,Bronx,39.0,363.0,371.0,350.0,89.0,11.0,12.4,89.0,11.0,12.4,74.0,51.0,27.0,7.4,66.0,52.0,37.0,6.7,"(40.8177403, -73.8979421)"
131,08X367,Archimedes Academy for Math Science and Technology Applications,456 White Plains Road,Bronx,,,,,,,,,,,76.0,,,6.5,74.0,,,6.3,"(40.8150398, -73.85609869999999)"
132,08X376,Antonia Pantoja Preparatory Academy: A College Board School,1980 Lafayette Avenue,Bronx,,,,,,,,,,,62.0,,,6.4,49.0,,,6.3,"(40.8213444, -73.85567329999999)"
133,08X405,Herbert H. Lehman High School.,3000 East Tremont Avenue,Bronx,415.0,412.0,436.0,393.0,1092.0,181.0,16.6,1092.0,193.0,17.7,55.0,54.0,33.0,6.3,47.0,50.0,34.0,6.3,"(40.8401731, -73.8393567)"
134,08X432,BRONX BRIDGES HIGH SCHOOL,1980 Lafayette Avenue,Bronx,,,,,,,,,,,84.0,,,7.6,90.0,,,6.6,"(40.8213444, -73.85567329999999)"
135,08X452,Bronx Guild,1980 Lafayette Avenue,Bronx,39.0,369.0,371.0,365.0,64.0,1.0,1.6,64.0,1.0,1.6,79.0,52.0,45.0,7.2,73.0,64.0,40.0,6.9,"(40.8213444, -73.85567329999999)"
136,08X519,Felisa Rincon de Gautier Institute for Law and Public Policy ,1440 Story Avenue,Bronx,68.0,373.0,370.0,356.0,99.0,0.0,0.0,99.0,0.0,0.0,75.0,43.0,32.0,7.0,81.0,66.0,35.0,6.2,"(40.8211129, -73.88058219999999)"
137,08X530,Banana Kelly High School,965 Longwood Avenue,Bronx,54.0,373.0,381.0,377.0,,,,,,,80.0,42.0,33.0,7.7,71.0,49.0,32.0,6.6,"(40.8177403, -73.8979421)"
138,08X558,Westchester Square Academy,3000 East Tremont Avenue,Bronx,,,,,,,,,,,76.0,,,6.4,,,,,"(40.8401731, -73.8393567)"
139,08X559,School for Tourism and Hospitality,900 Tinton Avenue,Bronx,,,,,,,,,,,77.0,,,7.4,,,,,"(40.82185070000001, -73.9028489)"
140,08X561,Bronx Compass High School,1980 Lafayette Avenue,Bronx,,,,,,,,,,,82.0,,,7.8,,,,,"(40.8213444, -73.85567329999999)"
141,09X227,Bronx Collegiate Academy,240 East 172 Street,Bronx,39.0,324.0,376.0,349.0,96.0,2.0,2.1,96.0,2.0,2.1,69.0,57.0,34.0,8.3,80.0,56.0,37.0,7.4,"(40.83965449999999, -73.911386)"
142,09X231,Eagle Academy for Young Men,4143 Third Avenue,Bronx,78.0,373.0,387.0,374.0,100.0,14.0,14.0,100.0,14.0,14.0,69.0,68.0,58.0,7.3,67.0,73.0,53.0,6.7,"(40.845324, -73.89739229999999)"
143,09X241,Urban Assembly School for Applied Math and Science ,1595 Bathgate Avenue,Bronx,80.0,411.0,464.0,415.0,,,,,,,84.0,89.0,92.0,7.4,77.0,94.0,86.0,6.6,"(40.8394571, -73.9018947)"
144,09X250,Eximius College Preparatory Academy: A College Board School,1363 Fulton Avenue,Bronx,50.0,393.0,394.0,382.0,60.0,9.0,15.0,60.0,9.0,15.0,77.0,82.0,46.0,8.0,74.0,82.0,50.0,6.8,"(40.8339721, -73.9027472)"
145,09X252,Mott Hall Bronx High School,1595 Bathgate Avenue,Bronx,67.0,369.0,367.0,356.0,107.0,3.0,2.8,107.0,3.0,2.8,83.0,85.0,65.0,7.6,84.0,82.0,68.0,6.8,"(40.8394571, -73.9018947)"
146,09X260,Bronx Center for Science and Mamatics,1363 Fulton Avenue,Bronx,81.0,459.0,480.0,457.0,100.0,59.0,59.0,100.0,61.0,61.0,92.0,92.0,78.0,8.0,88.0,88.0,66.0,7.4,"(40.8339721, -73.9027472)"
147,09X263,Validus Preparatory Academy: An Expeditionary Learning School,1595 Bathgate Avenue,Bronx,74.0,356.0,363.0,356.0,120.0,4.0,3.3,120.0,4.0,3.3,89.0,65.0,41.0,8.0,74.0,65.0,40.0,7.2,"(40.8394571, -73.9018947)"
148,09X276,Leadership Institute,1701 Fulton Avenue,Bronx,30.0,361.0,353.0,367.0,67.0,5.0,7.5,67.0,5.0,7.5,51.0,56.0,28.0,7.6,50.0,45.0,39.0,6.9,"(40.841139, -73.8982612)"
149,09X297,Morris Academy for Collaborative Studies,1110 Boston Road,Bronx,38.0,386.0,386.0,376.0,99.0,10.0,10.1,99.0,10.0,10.1,71.0,63.0,34.0,7.2,80.0,64.0,30.0,6.5,"(40.8273033, -73.9045097)"
150,09X324,Bronx Early College Academy for Teaching & Learning,250 East 164 Street,Bronx,,,,,,,,,,,94.0,94.0,,7.1,85.0,,,6.6,"(40.8283139, -73.91756529999999)"
151,09X327,Comprehensive Model School Project M.S. 327,1501 Jerome Avenue,Bronx,,,,,,,,,,,90.0,,,7.7,,,,6.8,"(40.8428109, -73.916384)"
152,09X329,DreamYard Preparatory School,240 East 172 Street,Bronx,51.0,382.0,365.0,391.0,93.0,10.0,10.8,93.0,12.0,12.9,77.0,33.0,37.0,7.3,74.0,54.0,34.0,6.7,"(40.83965449999999, -73.911386)"
154,09X365,Academy for Language and Technology,1700 Macombs Road,Bronx,54.0,315.0,339.0,297.0,,,,,,,98.0,86.0,42.0,7.8,96.0,82.0,31.0,7.0,"(40.8493122, -73.91565299999999)"
155,09X403,Bronx International High School,1110 Boston Road,Bronx,49.0,314.0,312.0,339.0,88.0,8.0,9.1,88.0,9.0,10.2,88.0,50.0,45.0,7.8,90.0,63.0,41.0,7.2,"(40.8273033, -73.9045097)"
156,09X404,School for Excellence,1110 Boston Road,Bronx,32.0,363.0,360.0,351.0,108.0,6.0,5.6,108.0,6.0,5.6,73.0,62.0,27.0,6.9,77.0,57.0,29.0,7.0,"(40.8273033, -73.9045097)"
157,09X412,Bronx High School of Business,240 East 172 Street,Bronx,34.0,356.0,376.0,351.0,110.0,11.0,10.0,110.0,11.0,10.0,70.0,43.0,34.0,7.1,71.0,43.0,30.0,6.4,"(40.83965449999999, -73.911386)"
158,09X413,Bronx High School for Medical Science,240 East 172 Street,Bronx,64.0,400.0,419.0,402.0,103.0,35.0,34.0,103.0,35.0,34.0,94.0,88.0,84.0,7.1,76.0,93.0,57.0,6.2,"(40.83965449999999, -73.911386)"
159,09X505,Bronx School for Law Government and Justice,244 East 163 Street,Bronx,80.0,404.0,418.0,402.0,122.0,8.0,6.6,122.0,8.0,6.6,71.0,84.0,66.0,6.5,73.0,74.0,62.0,6.5,"(40.827572, -73.9189269)"
160,09X517,Frederick Douglass Academy III Secondary School,3630 Third Avenue,Bronx,50.0,368.0,384.0,369.0,87.0,14.0,16.1,87.0,14.0,16.1,66.0,69.0,49.0,7.1,68.0,79.0,52.0,7.0,"(40.8338896, -73.9038894)"
161,09X525,Bronx Leadership Academy High School,1710 Webster Avenue,Bronx,114.0,384.0,394.0,388.0,178.0,27.0,15.2,178.0,27.0,15.2,74.0,57.0,48.0,7.0,64.0,70.0,42.0,6.6,"(40.8433729, -73.9030014)"
162,09X543,High School for Violin and Dance,1110 Boston Road,Bronx,27.0,353.0,315.0,371.0,47.0,4.0,8.5,47.0,4.0,8.5,87.0,49.0,41.0,6.8,71.0,71.0,33.0,6.4,"(40.8273033, -73.9045097)"
163,09X564,Claremont International HS,240 East 172 Street,Bronx,,,,,,,,,,,94.0,,,8.3,,,,,"(40.83965449999999, -73.911386)"
164,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),660 West 237 Street,Bronx,113.0,438.0,455.0,440.0,135.0,36.0,26.7,135.0,36.0,26.7,78.0,78.0,67.0,6.7,78.0,84.0,82.0,6.5,"(40.8877008, -73.91360499999999)"
165,10X213,Bronx Engineering and Technology Academy,99 Terrace View Avenue,Bronx,86.0,373.0,412.0,365.0,73.0,11.0,15.1,73.0,11.0,15.1,80.0,74.0,44.0,6.8,70.0,70.0,46.0,6.4,"(40.8771416, -73.91268389999999)"
166,10X225,atre Arts Production Company School,2225 Webster Avenue,Bronx,59.0,405.0,391.0,394.0,62.0,12.0,19.4,62.0,12.0,19.4,84.0,83.0,67.0,7.3,85.0,83.0,78.0,6.7,"(40.8546548, -73.8970362)"
167,10X237, Marie Curie School for Medicine Nursing and Health Professions,120 West 231 Street,Bronx,79.0,382.0,393.0,382.0,67.0,1.0,1.5,67.0,1.0,1.5,84.0,67.0,66.0,6.5,85.0,78.0,40.0,6.1,"(40.87545069999999, -73.90151639999999)"
168,10X243,West Bronx Academy for  Future,500 East Fordham Road,Bronx,26.0,382.0,406.0,370.0,72.0,5.0,6.9,72.0,5.0,6.9,75.0,74.0,38.0,6.8,76.0,67.0,46.0,6.3,"(40.85954230000001, -73.8885964)"
170,10X268,Kingsbridge International High School,2780 Reservoir Avenue,Bronx,52.0,304.0,356.0,302.0,118.0,4.0,3.4,118.0,4.0,3.4,78.0,48.0,47.0,7.8,81.0,48.0,31.0,7.2,"(40.8705477, -73.8972153)"
171,10X284,Bronx School of Law and Finance,99 Terrace View Avenue,Bronx,54.0,402.0,395.0,385.0,99.0,8.0,8.1,99.0,8.0,8.1,62.0,66.0,47.0,7.1,68.0,72.0,44.0,6.6,"(40.8771416, -73.91268389999999)"
172,10X342,International School for Liberal Arts,2780 Reservoir Avenue,Bronx,49.0,300.0,333.0,301.0,83.0,7.0,8.4,83.0,7.0,8.4,86.0,65.0,38.0,8.3,72.0,71.0,34.0,7.3,"(40.8705477, -73.8972153)"
175,10X368,In-Tech Academy (M.S. / High School 368),2975 Tibbett Avenue,Bronx,111.0,390.0,408.0,383.0,115.0,17.0,14.8,115.0,18.0,15.7,69.0,69.0,68.0,7.2,70.0,84.0,59.0,6.8,"(40.8795979, -73.9096174)"
176,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),500 East Fordham Road,Bronx,61.0,392.0,401.0,387.0,2.0,,,2.0,,,86.0,85.0,61.0,7.9,90.0,75.0,79.0,7.4,"(40.85954230000001, -73.8885964)"
177,10X433,High School for Teaching and  Professions,2780 Reservoir Avenue,Bronx,57.0,370.0,371.0,365.0,134.0,5.0,3.7,134.0,5.0,3.7,73.0,68.0,30.0,6.6,73.0,53.0,53.0,6.2,"(40.8705477, -73.8972153)"
178,10X434,Belmont Preparatory High School,500 East Fordham Road,Bronx,51.0,404.0,418.0,400.0,96.0,3.0,3.1,96.0,3.0,3.1,86.0,65.0,34.0,6.7,81.0,66.0,47.0,6.3,"(40.85954230000001, -73.8885964)"
179,10X437,Fordham High School for  Arts,500 East Fordham Road,Bronx,48.0,355.0,350.0,372.0,82.0,5.0,6.1,82.0,5.0,6.1,88.0,85.0,33.0,7.9,85.0,76.0,32.0,7.7,"(40.85954230000001, -73.8885964)"
180,10X438,Fordham Leadership Academy for Business and Technology,500 East Fordham Road,Bronx,63.0,367.0,385.0,367.0,144.0,11.0,7.6,144.0,11.0,7.6,78.0,38.0,31.0,7.0,69.0,53.0,38.0,5.6,"(40.85954230000001, -73.8885964)"
181,10X439,Bronx High School for Law and Community Service,500 East Fordham Road,Bronx,65.0,366.0,364.0,352.0,115.0,9.0,7.8,115.0,9.0,7.8,78.0,68.0,45.0,7.4,61.0,59.0,30.0,6.6,"(40.85954230000001, -73.8885964)"
182,10X440,DeWitt Clinton High School,100 West Mosholu Parkway South,Bronx,443.0,419.0,426.0,410.0,1013.0,158.0,15.6,1013.0,162.0,16.0,53.0,55.0,34.0,6.3,51.0,50.0,40.0,5.8,"(40.8813441, -73.88728669999999)"
183,10X442,Celia Cruz Bronx High School of Music ,2780 Reservoir Avenue,Bronx,52.0,423.0,420.0,427.0,82.0,16.0,19.5,82.0,16.0,19.5,78.0,87.0,54.0,7.2,78.0,82.0,62.0,6.7,"(40.8705477, -73.8972153)"
184,10X445,Bronx High School of Science,75 West 205 Street,Bronx,731.0,632.0,688.0,649.0,668.0,650.0,97.3,668.0,656.0,98.2,100.0,100.0,100.0,7.4,100.0,100.0,100.0,6.9,"(40.87766209999999, -73.89105529999999)"
185,10X477,Marble Hill High School for International Studies,99 Terrace View Avenue,Bronx,99.0,414.0,435.0,414.0,107.0,43.0,40.2,107.0,43.0,40.2,92.0,90.0,74.0,7.7,93.0,92.0,63.0,7.1,"(40.8771416, -73.91268389999999)"
186,10X524,Crotona International High School,2474 Crotona Avenue,Bronx,,,,,,,,,,,43.0,,,7.5,74.0,,,7.0,"(40.8553275, -73.88241090000001)"
187,10X546,Bronx atre High School,99 Terrace View Avenue,Bronx,68.0,348.0,362.0,354.0,108.0,9.0,8.3,108.0,10.0,9.3,74.0,74.0,50.0,8.3,71.0,73.0,41.0,6.7,"(40.8771416, -73.91268389999999)"
188,10X549,Discovery High School,2780 Reservoir Avenue,Bronx,55.0,372.0,379.0,364.0,96.0,5.0,5.2,96.0,5.0,5.2,76.0,57.0,37.0,6.9,75.0,54.0,45.0,6.6,"(40.8705477, -73.8972153)"
189,10X565,High School for Energy and Technology,2474 Crotona Avenue,Bronx,,,,,,,,,,,89.0,,,8.1,,,,,"(40.8553275, -73.88241090000001)"
190,10X696,High School of American Studies at Lehman College,2925 Goulden Avenue,Bronx,92.0,636.0,648.0,636.0,78.0,74.0,94.9,78.0,75.0,96.2,98.0,100.0,99.0,8.1,100.0,100.0,99.0,7.9,"(40.8748282, -73.8952168)"
191,11X249,Bronx Health Sciences High School,750 Baychester Avenue,Bronx,74.0,370.0,381.0,382.0,58.0,2.0,3.4,58.0,2.0,3.4,78.0,98.0,67.0,6.3,80.0,97.0,74.0,6.4,"(40.8740855, -73.8320957)"
192,11X253,Bronx High School for Writing and Communication Arts,800 East Gun Hill Road,Bronx,46.0,400.0,357.0,390.0,118.0,10.0,8.5,118.0,11.0,9.3,81.0,54.0,27.0,7.2,71.0,57.0,33.0,6.5,"(40.8751075, -73.86165249999999)"
193,11X265,Bronx Lab School,800 East Gun Hill Road,Bronx,81.0,377.0,391.0,367.0,94.0,5.0,5.3,94.0,6.0,6.4,81.0,66.0,39.0,6.8,87.0,58.0,42.0,6.6,"(40.8751075, -73.86165249999999)"
194,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,921 East 228Th Street,Bronx,56.0,386.0,394.0,361.0,65.0,4.0,6.2,65.0,4.0,6.2,80.0,74.0,34.0,6.6,81.0,70.0,41.0,5.9,"(40.8879098, -73.8524877)"
195,11X275,High School of Computers and Technology,800 East Gun Hill Road,Bronx,72.0,381.0,376.0,354.0,90.0,11.0,12.2,90.0,11.0,12.2,86.0,85.0,67.0,7.8,89.0,82.0,52.0,6.9,"(40.8751075, -73.86165249999999)"
196,11X288,Collegiate Institute for Math and Science,925 Astor Avenue,Bronx,97.0,444.0,471.0,433.0,121.0,37.0,30.6,121.0,37.0,30.6,77.0,89.0,81.0,7.8,82.0,90.0,61.0,7.3,"(40.8603116, -73.8602433)"
197,11X290,Bronx Academy of Health Careers,800 East Gun Hill Road,Bronx,69.0,387.0,365.0,383.0,99.0,8.0,8.1,99.0,8.0,8.1,76.0,66.0,67.0,6.6,78.0,74.0,62.0,5.9,"(40.8751075, -73.86165249999999)"
198,11X299,Astor Collegiate Academy,925 Astor Avenue,Bronx,60.0,387.0,391.0,391.0,111.0,4.0,3.6,111.0,4.0,3.6,80.0,63.0,45.0,6.3,82.0,69.0,41.0,6.2,"(40.8603116, -73.8602433)"
199,11X418,Bronx High School for  Visual Arts,2040 Antin Pl,Bronx,48.0,419.0,433.0,416.0,95.0,13.0,13.7,95.0,13.0,13.7,66.0,58.0,35.0,7.5,57.0,62.0,37.0,6.3,"(40.8517465, -73.8645056)"
200,11X455,Harry S Truman High School,750 Baychester Avenue,Bronx,189.0,386.0,397.0,368.0,565.0,51.0,9.0,565.0,52.0,9.2,67.0,58.0,34.0,7.1,61.0,65.0,32.0,6.7,"(40.8740855, -73.8320957)"
201,11X508,Bronxdale High School,925 Astor Avenue,Bronx,,,,,,,,,,,85.0,,,7.0,87.0,,,6.4,"(40.8603116, -73.8602433)"
202,11X509,High School of Language and Innovation,925 Astor Avenue,Bronx,,,,,,,,,,,61.0,,,8.2,81.0,,,8.3,"(40.8603116, -73.8602433)"
203,11X513,New World High School,921 East 228Th Street,Bronx,72.0,332.0,381.0,335.0,62.0,11.0,17.7,62.0,11.0,17.7,85.0,84.0,57.0,7.7,91.0,74.0,50.0,7.1,"(40.8879098, -73.8524877)"
